id,name,district_id
1,Blorok,1
2,Brangsong,1
3,Kebon Adem,1
4,Kertomulyo,1
5,Penjalin,1
6,Purwokerto,1
7,Rejosari,1
8,Sidorejo,1
9,Sumur,1
10,Tosari,1
11,Tunggulsari,1
12,Turunrejo,1
13,Banjarejo,2
14,Bebengan,2
15,Blimbing,2
16,Boja,2
17,Campurejo,2
18,Kaligading,2
19,Karangmanggis,2
20,Kliris,2
21,Leban,2
22,Medono,2
23,Metesih,2
24,Ngabean,2
25,Pasigitan,2
26,Puguh,2
27,Purwogondo,2
28,Salamsari,2
29,Tampingan,2
30,Trisobo,2
31,Botomulyo,3
32,Cepiring,3
33,Damarsari,3
34,Gondang,3
35,Juwiring,3
36,Kaliayu,3
37,Kalirandu Gede,3
38,Karangayu,3
39,Karangsuno,3
40,Korowelang Anyar,3
41,Korowelang Kulon,3
42,Margorejo,3
43,Pandes,3
44,Podosari,3
45,Sidomulyo,3
46,Cepokomulyo,4
47,Galih,4
48,Gebang,4
49,Gemuhblanten,4
50,Jenarsari,4
51,Johorejo,4
52,Krompaan,4
53,Lumansari,4
54,Pamriyan,4
55,Poncorejo,4
56,Pucangrejo,4
57,Sedayu,4
58,Sojomerto,4
59,Tamangede,4
60,Tlahab,4
61,Triharjo,4
62,Karangtengah,5
63,Krajan Kulon,5
64,Kumpul Rejo,5
65,Kutoharjo,5
66,Mororejo,5
67,Nolokerto,5
68,Sarirejo,5
69,Sumberejo,5
70,Wonorejo,5
71,Darupono,6
72,Jeruk Giling,6
73,Kedungsuren,6
74,Magelung,6
75,Plantaran,6
76,Protomulyo,6
77,Sidomakmur,6
78,Sukomulyo,6
79,Gebanganom Wetan,7
80,Jungsemi,7
81,Kadilangu,7
82,Kalirejo,7
83,Kaliyoso,7
84,Kangkung,7
85,Karangmalang Wetan,7
86,Laban,7
87,Lebosari,7
88,Rejosari,7
89,Sendangdawung,7
90,Sendangkulon,7
91,Sukodadi,7
92,Tanjungmojo,7
93,Truko,7
94,Balok,8
95,Bandengan,8
96,Banyutowo,8
97,Bugangin,8
98,Candiroto,8
99,Jetis,8
100,Jotang,8
101,Kalibuntu Wetan,8
102,Karang Sari,8
103,Kebondalem,8
104,Ketapang,8
105,Langenharjo,8
106,Ngilir,8
107,Pakauman,8
108,Patukangan,8
109,Pegulon,8
110,Sijeruk,8
111,Sukodono,8
112,Trompo,8
113,Tunggulrejo,8
114,Gondang,9
115,Gonoharjo,9
116,Jawisari,9
117,Kedungboto,9
118,Limbangan,9
119,Margosari,9
120,Ngesrepbalong,9
121,Pagertoyo,9
122,Pagerwojo,9
123,Pakis,9
124,Peron,9
125,Sriwulan,9
126,Sumberrahayu,9
127,Tabet,9
128,Tamanrejo,9
129,Tambahsari,9
130,Banyuurip,10
131,Bojonggede,10
132,Dempelrejo,10
133,Jatirejo,10
134,Kebonagung,10
135,Ngampel Kulon,10
136,Ngampel Wetan,10
137,Putatgede,10
138,Rejosari,10
139,Sudipayung,10
140,Sumbersari,10
141,Winong,10
142,Bendosari,11
143,Blumah,11
144,Jati,11
145,Jurangagung,11
146,Karanganyar,11
147,Kediten,11
148,Manggungmangu,11
149,Mojoagung,11
150,Tirtomulyo,11
151,Tlogopayung,11
152,Wadas,11
153,Wonodadi,11
154,Bangunsari,12
155,Gebangan,12
156,Getas Blawong,12
157,Gondoharum,12
158,Kebongembong,12
159,Krikil,12
160,Pagergunung,12
161,Pageruyung,12
162,Parakan Sebaran,12
163,Petung,12
164,Pucakwangi,12
165,Surokonto Kulon,12
166,Surokonto Wetan,12
167,Tambahrejo,12
168,Curugsewu,13
169,Gedong,13
170,Kalibareng,13
171,Kalices,13
172,Kalilumpang,13
173,Mlatiharjo,13
174,Pagersari,13
175,Pakisan,13
176,Plososari,13
177,Selo,13
178,Sidodadi,13
179,Sidokumpul,13
180,Sukomangli,13
181,Wirosari,13
182,Bangunrejo,14
183,Bangunsari,14
184,Bulugede,14
185,Donosari,14
186,Jambearum,14
187,Kartikajaya,14
188,Kebonharjo,14
189,Kumpulrejo,14
190,Lanji,14
191,Magersari,14
192,Margosari,14
193,Pidodo Kulon,14
194,Pidodo Wetan,14
195,Purwokerto,14
196,Purwosari,14
197,Sukolilan,14
198,Tambakrejo,14
199,Wonosari,14
200,Dawungsari,15
201,Gubugsari,15
202,Karangmulyo,15
203,Margomulyo,15
204,Pegandon,15
205,Pekuncen,15
206,Penanggulan,15
207,Pesawahan,15
208,Pucang Rejo,15
209,Puguh,15
210,Tegorejo,15
211,Wonosari,15
212,Caruban,16
213,Kedungasri,16
214,Kedunggading,16
215,Mojo,16
216,Ngawensari,16
217,Ngerjo,16
218,Pagerdawung,16
219,Purworejo,16
220,Ringinarum,16
221,Rowobranten,16
222,Tejorejo,16
223,Wungurejo,16
224,Bulak,17
225,Gebanganom,17
226,Gempolsewu,17
227,Jatipurwo,17
228,Karangsari,17
229,Kebonsari,17
230,Parakan,17
231,Pojoksari,17
232,Randusari,17
233,Rowosari,17
234,Sendang Sikucing,17
235,Sendangdawuhan,17
236,Tambaksari,17
237,Tanjunganom,17
238,Tanjungsari,17
239,Wonotenggang,17
240,Banyuringin,18
241,Cacaban,18
242,Cening,18
243,Getas,18
244,Kaliputih,18
245,Kalirejo,18
246,Kedungsari,18
247,Kertosari,18
248,Merbuh,18
249,Ngareanak,18
250,Singorojo,18
251,Sukodadi,18
252,Trayu,18
253,Bringinsari,19
254,Damarjati,19
255,Genting Gunung,19
256,Harjodowo,19
257,Kalibogor,19
258,Kalipakis,19
259,Kebumen,19
260,Mulyosari,19
261,Ngadiwarno,19
262,Ngargosari,19
263,Peron,19
264,Pesaren,19
265,Purwo Sari,19
266,Selokaton,19
267,Sukorejo,19
268,Taman Rejo,19
269,Tamping Winarno,19
270,Trimulyo,19
271,Bumiayu,20
272,Karanganom,20
273,Karangdowo,20
274,Manggungsari,20
275,Montongsari,20
276,Nawangsari,20
277,Ngasinan,20
278,Payung,20
279,Penaruban,20
280,Penyangkringan,20
281,Pucuksari,20
282,Sambongsari,20
283,Sidomukti,20
284,Sumberagung,20
285,Tratemulyo,20
286,Weleri,20
287,Jetak,21
288,Manggihan,21
289,Ngrawan,21
290,Polobogo,21
291,Tajuk,21
292,Tolokan,21
293,Wates,21
294,Samirono,21
295,Kopeng,21
296,Sumogawe,21
297,Batur,21
298,Getasan,21
299,Nogosaren,21
300,Barukan,22
301,Bener,22
302,Butuh,22
303,Cukil,22
304,Duren,22
305,Karangduren,22
306,Klero,22
307,Nyamat,22
308,Patemon,22
309,Regunung,22
310,Sruwen,22
311,Sugihan,22
312,Tegalrejo,22
313,Tegalwaton,22
314,Tengaran,22
315,Badran,23
316,Bakalrejo,23
317,Gentan,23
318,Kemetul,23
319,Kenteng,23
320,Ketapang,23
321,Koripan,23
322,Muncar,23
323,Ngasinan,23
324,Sidoharjo,23
325,Susukan,23
326,Tawang,23
327,Timpik,23
328,Beji Lor,24
329,Bonomerto,24
330,Cukilan,24
331,Dadapayam,24
332,Gunung Tumpeng,24
333,Jatirejo,24
334,Kebowan,24
335,Kedungringin,24
336,Ketanggi,24
337,Krandon Lor,24
338,Medayu,24
339,Plumbon,24
340,Purworejo,24
341,Reksosari,24
342,Sukorejo,24
343,Suruh,24
344,Dersansari,24
345,Bejaten,25
346,Bendungan,25
347,Giling,25
348,Glawan,25
349,Jembrak,25
350,Kadirejo,25
351,Karanggondang,25
352,Kauman Lor,25
353,Pabelan,25
354,Padaan,25
355,Segiri,25
356,Semowo,25
357,Sukoharjo,25
358,Sumberejo,25
359,Terban,25
360,Tukang,25
361,Ujung-Ujung,25
362,Candirejo,26
363,Delik,26
364,Gedangan,26
365,Jombor,26
366,Kalibeji,26
367,Karanganyar,26
368,Karang Tengah,26
369,Kesongo,26
370,Lopait,26
371,Ngajaran,26
372,Rowosari,26
373,Sraten,26
374,Tlogo,26
375,Tlompakan,26
376,Tuntang,26
377,Watuagung,26
378,Banyubiru,27
379,Gedong,27
380,Kebondowo,27
381,Kebumen,27
382,Kemambang,27
383,Ngrapah,27
384,Rowoboni,27
385,Sepakung,27
386,Tegaron,27
387,Wirogomo,27
388,Bedono,28
389,Brongkol,28
390,Gemawang,28
391,Genting,28
392,Jambu,28
393,Kebondalem,28
394,Kelurahan,28
395,Kuwarasan,28
396,Rejosari,28
397,Gondoriyo,28
398,Bumen,29
399,Candigaron,29
400,Duren,29
401,Jubelan,29
402,Kebonagung,29
403,Kemawi,29
404,Kemitir,29
405,Keseneng,29
406,Lanjan,29
407,Losari,29
408,Mendongan,29
409,Ngadikerso,29
410,Piyanggang,29
411,Pledokan,29
412,Sumowono,29
413,Trayu,29
414,Bejalen,30
415,Pasekan,30
416,Baran,30
417,Kranggan,30
418,Kupang,30
419,Lodoyong,30
420,Ngampin,30
421,Panjang,30
422,Pojoksari,30
423,Tambakboyo,30
424,Asinan,31
425,Doplang,31
426,Kandangan,31
427,Lemahireng,31
